,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gon4l,0.017026519,0.268756913,0.647,0.463,1
Ncald,0.017174714,-0.288766502,0.952,0.945,1
Abce1,0.017195526,0.283210347,0.824,0.787,1
Pdcd11,0.017196378,0.853704426,0.428,0.287,1
Camkmt,0.017198691,-0.432267758,0.61,0.671,1
Usp25,0.017275583,-0.564353838,0.62,0.64,1
Ormdl2,0.017309782,0.581155888,0.706,0.555,1
Nup188,0.01731673,-0.81770374,0.15,0.238,1
Vasn,0.01736417,-1.123531632,0.043,0.11,1
Emc8,0.017375275,0.330989929,0.781,0.701,1
Cspp1,0.017399716,-0.436892454,0.588,0.646,1
Gm11659,0.017420329,-1.501933561,0.032,0.091,1
Tapt1,0.017436825,-1.049151809,0.262,0.354,1
Alk,0.017458888,-0.552921374,0.567,0.61,1
Pard3b,0.01749943,-0.631612571,0.39,0.476,1
Arhgap20,0.017500646,-0.907228229,0.246,0.335,1
Ccdc82,0.017512728,-0.223936197,0.797,0.841,1
Hist2h3c1,0.017535746,-0.673019832,0.214,0.317,1
Sh3kbp1,0.017537868,-0.271560024,0.829,0.86,1
Ndfip2,0.017545804,-0.195104029,0.936,0.957,1
Stap2,0.017590082,1.004737857,0.171,0.085,1
Galt,0.017649713,0.517987655,0.567,0.451,1
Ndufb1-ps,0.017655113,-0.112330211,0.995,0.976,1
Tmem87a,0.017657702,-0.453617441,0.241,0.341,1
Gm15494,0.017749481,-1.227573435,0.16,0.256,1
Acot2,0.017754756,-0.587137745,0.225,0.335,1
Sobp,0.017760049,-0.234922277,0.898,0.884,1
Fbxw4,0.017779873,-0.403023831,0.364,0.47,1
Gm2115,0.017787608,0.946233059,0.23,0.128,1
Emp2,0.017794928,0.481951064,0.369,0.25,1
Zfpl1,0.017802697,-0.577594043,0.39,0.482,1
Anks1,0.017813567,-0.39629272,0.642,0.707,1
Mical3,0.017849978,-0.365366016,0.524,0.561,1
Dagla,0.017866062,1.121391842,0.241,0.134,1
Scn5a,0.017883804,-0.729675154,0.209,0.311,1
Mrpl55,0.01789273,0.232505769,0.957,0.909,1
Tiprl,0.017923581,0.269387243,0.909,0.884,1
Ctdsp1,0.017994553,1.16274084,0.102,0.037,1
Arf6,0.018005346,-0.344329512,0.754,0.835,1
Lss,0.018010437,0.507204423,0.422,0.287,1
Cbx3,0.018041672,-0.210630296,0.925,0.933,1
Cnih2,0.018050156,-0.379111896,0.727,0.774,1
Ccdc71l,0.018078419,0.620044679,0.465,0.335,1
Ccnt2,0.018169166,-0.262293086,0.61,0.677,1
D230022J07Rik,0.018178932,-0.913710294,0.112,0.201,1
Myc,0.018201109,-0.558329479,0.401,0.488,1
Gm50304,0.01820879,-1.253589165,0.011,0.055,1
Efnb1,0.018224639,0.599300485,0.273,0.165,1
Gm32031,0.018261442,0.767992198,0.198,0.104,1
Apba2,0.018277063,-0.262037328,0.893,0.927,1
St6galnac3,0.018315365,-0.324563199,0.422,0.5,1
Ss18l2,0.018315472,0.186984032,0.914,0.884,1
Ing3,0.018321439,-0.870442784,0.198,0.293,1
Plekhj1,0.018336422,0.229424077,0.909,0.884,1
Tep1,0.018366711,0.515891704,0.385,0.262,1
Zfp266,0.018392079,-0.392602697,0.642,0.659,1
Gm16541,0.018393752,-0.982999249,0.075,0.152,1
Sec24a,0.018410722,-0.585539181,0.422,0.482,1
Fkbp14,0.018477313,0.513707611,0.444,0.293,1
Adra2c,0.018477313,-0.420803773,0.278,0.402,1
Chmp1a,0.018482392,-0.24723823,0.872,0.89,1
Ttc7b,0.018484311,-0.303878821,0.786,0.817,1
Nr3c1,0.018497824,0.252515467,0.695,0.537,1
Mrpl2,0.018529368,0.520084412,0.695,0.585,1
Chchd4,0.018546468,0.310696557,0.781,0.646,1
Pde8b,0.01862242,0.154137525,0.84,0.75,1
Vstm2l,0.01863206,0.220723752,0.957,0.963,1
Dmtn,0.018651776,-0.209587091,0.866,0.884,1
Ucp2,0.018693521,0.49456644,0.262,0.152,1
Vps51,0.018713952,0.649394647,0.406,0.287,1
Crnkl1,0.018716958,-0.580990316,0.278,0.372,1
Cntn3,0.018788253,-0.403243435,0.62,0.695,1
Lama5,0.018798667,-1.150662514,0.032,0.091,1
Cdh23,0.018798667,-1.331951554,0.032,0.091,1
Gm31816,0.018803742,-0.598600508,0.262,0.36,1
Asap1,0.018820827,-0.211332401,0.973,0.982,1
Rab8b,0.018864539,0.272547163,0.898,0.848,1
Fat3,0.018906348,-1.439509858,0.011,0.055,1
Camp,0.018918777,-1.957493686,0.005,0.043,1
1700024B18Rik,0.018918777,-1.4088477,0.005,0.043,1
Wfdc3,0.018934092,1.241761916,0.048,0.006,1
Draxin,0.018934092,1.350213945,0.048,0.006,1
Hopx,0.018968922,0.615150083,0.588,0.463,1
Tsn,0.019007496,0.184122135,0.979,0.963,1
Dnttip1,0.019055509,0.420292682,0.594,0.476,1
Aldh1a2,0.019061497,-0.391158626,0.193,0.299,1
U2surp,0.019086534,0.176296228,0.866,0.787,1
Thumpd1,0.019110143,0.350439038,0.668,0.53,1
Czib,0.019117476,0.388585278,0.802,0.695,1
Prdm5,0.019120786,1.291507765,0.048,0.006,1
Rpp25,0.019126864,-1.657705178,0.005,0.043,1
St3gal4,0.019167286,0.322094383,0.84,0.787,1
Relb,0.019189576,0.811378469,0.283,0.171,1
Nebl,0.019204729,-0.169376191,0.658,0.695,1
Smarca1,0.019204729,-0.512499858,0.668,0.683,1
Ncoa3,0.019235391,-0.557654614,0.39,0.494,1
Catsperz,0.019330267,1.128170636,0.193,0.104,1
Gm39383,0.019336949,-1.499183164,0.005,0.043,1
Sos2,0.019372524,-0.437243196,0.54,0.634,1
Fuom,0.019404553,0.296807095,0.877,0.835,1
Col4a3,0.0194207,0.773793282,0.102,0.037,1
Nsmf,0.019499182,0.529921371,0.545,0.402,1
2410131K14Rik,0.019504449,0.30782068,0.316,0.201,1
Fam216a,0.019548513,0.3556672,0.717,0.549,1
Wipi1,0.019581676,0.284454676,0.77,0.628,1
Ybx1,0.019600102,0.239445188,0.947,0.951,1
Dcun1d1,0.01964603,-0.287977908,0.658,0.72,1
2610001J05Rik,0.019668991,0.239186932,0.93,0.848,1
Gem,0.019689167,-0.738079208,0.251,0.348,1
Gaa,0.019739294,-0.298268978,0.893,0.878,1
Fmo1,0.019760633,0.718954493,0.23,0.128,1
Camkk2,0.019791461,0.33082216,0.85,0.762,1
Larp6,0.01988093,0.560126449,0.433,0.305,1
C2cd2l,0.019889749,0.367028846,0.706,0.561,1
Slco4a1,0.019930591,-1.184454834,0.053,0.122,1
Neurl4,0.019963227,-0.344496191,0.503,0.591,1
Tex50,0.019989148,-1.301221527,0.021,0.073,1
Rrm2b,0.02004075,-0.417795793,0.85,0.835,1
1500011B03Rik,0.020053564,-0.150116771,0.979,0.97,1
Nhlrc1,0.020068375,-0.470004422,0.203,0.305,1
Zfp182,0.020086094,-0.767564376,0.214,0.305,1
